Link No.,Link or Connector,Link Width (m),Lane No.,Start x,Start y,Start zOffset,End x,End y,End zOffset
10011,connector,7.0,2,0.8643700867387552,-23.054668641485762,0.0,-27.848597502415366,8.830026636671649,0.0
10012,connector,3.5,1,26.833095326848483,18.90404258364537,0.0,16.50089508366422,32.12445803157665,0.0
10013,connector,3.5,1,21.777857482029063,-22.28533483779431,0.0,29.86312074566171,-10.199122493397642,0.0
10014,connector,3.5,1,-19.28162161034808,26.96216481134354,0.0,-31.84078042854554,13.983445239113674,0.0
10015,connector,3.5,1,-24.68006255423645,-15.601558661640425,0.0,-14.280023507573683,-27.85178776719768,0.0
10016,connector,10.5,3,27.490125141545853,10.179221861554801,0.0,-27.92746952877297,10.578616172297602,0.0
10017,connector,10.5,3,-10.51072008350308,25.67375209389975,0.0,-10.84851252429576,-24.61813795735953,0.0
10018,connector,10.5,3,12.060923803862343,-21.925548048960522,0.0,13.107298599927407,28.586320208662507,0.0
10019,connector,10.5,3,-25.20291407761499,-7.313202278133211,0.0,26.980755336979186,-6.720535223912674,0.0
10020,connector,3.5,1,-396.0993805109745,84.61534945729511,0.0,-390.48102913556517,65.17094475935062,0.0
10021,connector,3.5,1,-394.90716771054497,74.27404798632661,0.0,-398.5656012789132,55.72534959956388,0.0
10022,connector,3.5,1,-384.70238325444745,-88.57662959053563,0.0,-379.8619328156845,-58.274049868321974,0.0
10023,connector,3.5,1,-386.33661858599635,-114.611536115218,0.0,-388.4541898361168,-83.84635030148078,0.0
10024,connector,3.5,1,-559.422484346398,-16.071163202326634,0.0,-527.6841185819374,-12.032450877183928,0.0
10025,connector,3.5,1,-264.6006350452889,3.2852334494338233,0.0,-296.4210134202393,-1.062455655513537,0.0
10026,connector,3.5,1,-372.68891487921877,-2.6596891939214755,0.0,-391.98034192465605,-28.670097936158662,0.0
10027,connector,3.5,1,-389.29435144917437,16.517159617331004,0.0,-372.6830908645373,-11.664766281386624,0.0
10028,connector,3.5,1,-403.689580443858,-9.356964965543074,0.0,-385.3333552298583,16.768749057686843,0.0
10029,connector,3.5,1,-388.05624346864306,-29.32769795757762,0.0,-408.18602551494763,-0.03267163081793402,0.0
10030,connector,3.5,1,-379.06899257842593,-29.1744697612336,0.0,-370.5142781388598,-18.627919627729504,0.0
10031,connector,3.5,1,-372.8051079455606,8.532839130877763,0.0,-385.3532610659051,20.043259087390503,0.0
10032,connector,3.5,1,-398.26543450066896,16.497645899269124,0.0,-406.8183302906226,7.006849248934215,0.0
10033,connector,3.5,1,-403.66159414101185,-19.913513491776143,0.0,-392.0568364965128,-31.882869954141547,0.0
10034,connector,10.5,3,-373.22662740564425,5.0255495045735294,0.0,-405.03831226165954,3.5536797723318037,0.0
10035,connector,10.5,3,-403.4085865897744,-16.396865374887767,0.0,-372.7122667049333,-15.165811174894337,0.0
10036,connector,3.5,1,-394.4467669701995,16.363691507412312,0.0,-391.9926686148167,-29.187818922904825,0.0
10037,connector,3.5,1,-384.1233768260373,-29.32497174990263,0.0,-385.3350260870965,17.043605073369136,0.0
10038,connector,3.5,1,-801.2617143976216,65.93676407780042,0.0,-804.8156002105161,48.64850280309484,0.0
10039,connector,3.5,1,-800.7527760644881,86.07493696380078,0.0,-796.5453226821528,61.575753846844464,0.0
10040,connector,3.5,1,-782.8384177122967,-85.98827218825578,0.0,-779.3167010817654,-66.58227609131063,0.0
10041,connector,3.5,1,-782.6378244840424,-119.68793453499136,0.0,-786.7986880453465,-85.62476559605298,0.0
10042,connector,3.5,1,-959.9004273214804,-14.697027405732506,0.0,-927.0288288281076,-11.34582730732183,0.0
10043,connector,3.5,1,-668.4187851362836,-3.0038138357573065,0.0,-707.3212264691471,-6.751340408389568,0.0
10044,connector,3.5,1,-780.6992279172807,-32.611616704359825,0.0,-773.3999873988129,-21.856115355048622,0.0
10045,connector,3.5,1,-779.0690703777005,3.6654243648806055,0.0,-790.9777634236787,15.202751024212615,0.0
10046,connector,3.5,1,-804.1884260842548,13.25531709889351,0.0,-811.8863041793867,3.3894289536631117,0.0
10047,connector,3.5,1,-806.5608698715544,-23.542692063803194,0.0,-795.1308120475314,-32.638043500090006,0.0
10048,connector,3.5,1,-777.878223409831,-8.43094993825871,0.0,-795.1731120246897,-31.39019417392069,0.0
10049,connector,3.5,1,-806.2343355002547,-12.683239576267814,0.0,-790.8462968885142,13.155629262366535,0.0
10050,connector,3.5,1,-794.6576998905302,13.365821499391863,0.0,-776.2336940901854,-14.82242721940437,0.0
10051,connector,3.5,1,-791.3096284229573,-31.954760684933294,0.0,-809.6871259917407,-3.5695734171606914,0.0
10052,connector,10.5,3,-778.5537505956032,0.16694929194995745,0.0,-809.2787043118707,-0.06107202456238542,0.0
10053,connector,10.5,3,-805.6090998237169,-20.042692063803194,0.0,-776.3755997770659,-18.321004579813604,0.0
10054,connector,3.5,1,-787.0801053654859,-32.31198617820446,0.0,-790.8278113581879,12.867783147284158,0.0
10055,connector,3.5,1,-798.120906117182,13.096274588188173,0.0,-795.1724668850502,-31.409225793283863,0.0
