,Link No.,Link or Connector,Link Width (m),Lane No.,Start x,Start y,Start zOffset,End x,End y,End zOffset,flow,intersection,Start Lat,Start Lon,Start Alt,End Lat,End Lon,End Alt
78,10025,connector,3.5,1,-264.6006350452889,3.285233449433824,0.0,-296.4210134202393,-1.062455655513537,0.0,ib,3,-6.267387904863207,36.24252956714145,540.115482497029,-6.267741878271569,36.242490379983934,540.1168794445693
79,10026,connector,3.5,1,-372.6889148792188,-2.6596891939214755,0.0,-391.9803419246561,-28.670097936158665,0.0,ob,3,-6.268590293602179,36.242475960590276,540.1208754004911,-6.268804881402472,36.24224156778719,540.1220944467932
80,10027,connector,3.5,1,-389.2943514491744,16.517159617331004,0.0,-372.6830908645373,-11.664766281386624,0.0,ib,4,-6.268775024579827,36.24264876059239,540.1218869620934,-6.268590224529695,36.24239481398101,540.1208852045238
81,10028,connector,3.5,1,-403.689580443858,-9.356964965543074,0.0,-385.3333552298583,16.768749057686843,0.0,ob,3,-6.268935146349312,36.2424155976063,540.1227661389858,-6.268730961871941,36.242651029303616,540.1216473896056
82,10029,connector,3.5,1,-388.0562434686431,-29.32769795757762,0.0,-408.1860255149476,-0.032671630817934,0.0,ob,3,-6.268761228928708,36.24223564360025,540.1218577912077,-6.268985170321221,36.24249961885311,540.1230450719595
83,10030,connector,3.5,1,-379.06899257842593,-29.1744697612336,0.0,-370.5142781388598,-18.627919627729504,0.0,ib,4,-6.268661253739726,36.24223702793678,540.1213172981516,-6.268566095052097,36.24233206839936,540.1207755925134
84,10031,connector,3.5,1,-372.8051079455606,8.532839130877763,0.0,-385.3532610659051,20.043259087390503,0.0,ob,3,-6.268591591479766,36.24257681873084,540.120887353085,-6.26873118491926,36.24268053658145,540.1216580709442
85,10032,connector,3.5,1,-398.26543450066896,16.497645899269124,0.0,-406.8183302906226,7.006849248934215,0.0,ob,3,-6.268874820505182,36.24264858109627,540.1224400820211,-6.268969959520125,36.242563054006666,540.1229616599157
86,10033,connector,3.5,1,-403.6615941410119,-19.913513491776143,0.0,-392.0568364965128,-31.882869954141547,0.0,ob,3,-6.268934829584488,36.242320470375525,540.1227886686102,-6.268805730729053,36.24221261680224,540.1221144422889
87,10034,connector,10.5,3,-373.22662740564425,5.0255495045735294,0.0,-405.03831226165954,3.553679772331804,0.0,ob,3,-6.268596278862018,36.24254521365689,540.1209082333371,-6.268950156516328,36.24253193753052,540.1228456469253
